38,wikidataId/Q1022741,,,,,,,,,,,,,,,,,,,,,,,,,,61464.0,,,,,,,,,,,Widnes,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1022741,wikidataId/Q1022741,GBR,United Kingdom
39,wikidataId/Q1024911,,,,,,,,,,,,,,,,,,,,,,,,,,6664.0,,,,,,,,,,,Welshpool,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1024911,wikidataId/Q1024911,GBR,United Kingdom
40,wikidataId/Q10686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333871.0,,,,Belfast,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q10686,wikidataId/Q10686,GBR,United Kingdom
41,wikidataId/Q10690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361469.0,,,Cardiff,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q10690,wikidataId/Q10690,GBR,United Kingdom
42,wikidataId/Q10999,,,,,,,,,,,,,,,,,,,,,12027.0,,,,,12099.0,,,,,,,,,,,Tring,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q10999,wikidataId/Q10999,GBR,United Kingdom
43,wikidataId/Q1190876,,,,,,,,,,,,,,,,,,,,,29237.0,,,,,,,,,,,,,,,,Bromsgrove,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1190876,wikidataId/Q1190876,GBR,United Kingdom
44,wikidataId/Q123709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148270.0,,,Dundee,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q123709,wikidataId/Q123709,GBR,United Kingdom
45,wikidataId/Q1238552,,,,,,,,,,,,,,,,,,,,,,,,,,17789.0,,,,,,,,,,,Portchester,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1238552,wikidataId/Q1238552,GBR,United Kingdom
46,wikidataId/Q1277696,,,,,,,,,,,,,,,,,,,,,4233.0,,,,,4627.0,,,,,,,,,,,Easingwold,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1277696,wikidataId/Q1277696,GBR,United Kingdom
47,wikidataId/Q1277887,,,,,,,,,,,,,,,,,,,,,,,,,,26383.0,,,,,,,,,,,East Grinstead,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1277887,wikidataId/Q1277887,GBR,United Kingdom
48,wikidataId/Q130191,,,,,,,,,,,,,,,,,,,,,,,,,,,213166.0,,,,,,,195971.0,,,Norwich,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q130191,wikidataId/Q130191,GBR,United Kingdom
49,wikidataId/Q131491,,,,,,,,,,,,,,,,,,,,,134293.0,,,,,,,,,,,,,,,,Brighton,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q131491,wikidataId/Q131491,GBR,United Kingdom
50,wikidataId/Q1425428,,,,,,,,,,,,,,,,,,,,,,,,,,,,282442.0,,276960.0,,,,,,300196.0,Newcastle upon Tyne,54.25,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1425428,wikidataId/Q1425428,GBR,United Kingdom
51,wikidataId/Q1433341,,,,,,,,,,,,,,,,,,,,,,,,,,7297.0,,,,,,,,,,,Southwell,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1433341,wikidataId/Q1433341,GBR,United Kingdom
52,wikidataId/Q1438673,,,,,,,,,,,,,,,,,,,,,12795.0,,,,,,,,,,,,,,,,Milngavie,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1438673,wikidataId/Q1438673,GBR,United Kingdom
53,wikidataId/Q150214,,,,,,,,,,,,,,,,,,,,,,,,,,16989.0,,,,,,,,,,,Kilburn,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q150214,wikidataId/Q150214,GBR,United Kingdom
54,wikidataId/Q1529978,,,,,,,,,,,,,,,,,,,,,,,,,,15103.0,,,,,,,,,,,Tredegar,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1529978,wikidataId/Q1529978,GBR,United Kingdom
55,wikidataId/Q153647,,,,,,,,,,,,,,,,,,,,,102629.0,,,,,,,,,,,,,,,,St Helens,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q153647,wikidataId/Q153647,GBR,United Kingdom
56,wikidataId/Q1612220,,,,,,,,,,,,,,,,,,,,,,,,,,5038.0,,,,,,,,,,,Wirksworth,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1612220,wikidataId/Q1612220,GBR,United Kingdom
57,wikidataId/Q161491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162666.0,,,Reading,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q161491,wikidataId/Q161491,GBR,United Kingdom
58,wikidataId/Q170377,,,,,,,,,,,,,,,,,,,,,,,,,,142100.0,,,,,,,,,,139305.0,Blackpool,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q170377,wikidataId/Q170377,GBR,United Kingdom
59,wikidataId/Q170497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125649.0,,,,145563.0,,,Gloucester,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q170497,wikidataId/Q170497,GBR,United Kingdom
60,wikidataId/Q171923,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0,,,,,,,,,,,Bala,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q171923,wikidataId/Q171923,GBR,United Kingdom
61,wikidataId/Q1755020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68202.0,,,Tynemouth,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1755020,wikidataId/Q1755020,GBR,United Kingdom
