,place,2001,2005,2008,2010,2011,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
59,wikidataId/Q15201836,30883.0,,,,,,,,,,,,,,,,Bodhgaya inscription of Mahanaman,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q15201836,wikidataId/Q15201836,IND,India
60,wikidataId/Q15224015,,,,,2185.0,,,,,,,,,,,,Hili,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q15224015,wikidataId/Q15224015,IND,India
61,wikidataId/Q1522971,8199.0,,,,,,,,,,,,,,,,Farah,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1522971,wikidataId/Q1522971,IND,India
62,wikidataId/Q15235969,,,,,1762857.0,,,,,,,,,,,,Khajuraho Hanuman inscription,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q15235969,wikidataId/Q15235969,IND,India
63,wikidataId/Q1525057,,,,,216083.0,,,,,,,,,,,,English Bazar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1525057,wikidataId/Q1525057,IND,India
64,wikidataId/Q1525269,,,,,76492.0,,,,,,,,,,,,Fazilka,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1525269,wikidataId/Q1525269,IND,India
65,wikidataId/Q1525333,26751.0,,,,,,,,,,,,,,,,Gadhada,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1525333,wikidataId/Q1525333,IND,India
66,wikidataId/Q15261696,20160.0,,,,,,,,,,,,,,,,Nerkattumseval,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q15261696,wikidataId/Q15261696,IND,India
67,wikidataId/Q15265958,,8000.0,,,,,,,,,,,,,,,Perambra,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q15265958,wikidataId/Q15265958,IND,India
68,wikidataId/Q1536978,,,,,1.0,,,,,,,,,,,,Gondal,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1536978,wikidataId/Q1536978,IND,India
